Date,Open,High,Low,Close*,Adj Close**,Volume
10/29/21,59857.33,60132.81,59089.37,59306.93,59306.93,9000
10/28/21,61081,61081,59777.58,59984.7,59984.7,8600
10/27/21,61499.7,61576.85,60989.39,61143.33,61143.33,8900
10/26/21,60997.9,61497.71,60791.29,61350.26,61350.26,6700
10/25/21,61398.75,61404.99,60449.68,60967.05,60967.05,10500
10/22/21,61044.54,61420.13,60551.15,60821.62,60821.62,9400
10/21/21,61557.94,61621.2,60485.65,60923.5,60923.5,7300
10/20/21,61800.07,61880.36,61109.29,61259.96,61259.96,48400
10/19/21,62156.48,62245.43,61594.29,61716.05,61716.05,8600
10/18/21,61817.32,61963.07,61624.65,61765.59,61765.59,11800
10/14/21,61088.82,61353.25,60978.04,61305.95,61305.95,12600
10/13/21,60619.91,60836.63,60452.29,60737.05,60737.05,8500
10/12/21,60045.75,60331.74,59885.39,60284.31,60284.31,6500
10/11/21,60099.68,60476.13,59811.42,60135.78,60135.78,42500
10/08/21,59960.39,60212.3,59830.93,60059.06,60059.06,5700
10/07/21,59632.81,59914.91,59597.06,59677.83,59677.83,5700
10/06/21,59942,59963.57,59079.86,59189.73,59189.73,7000
